title,text,label
Apple quickly shipped 600 tons of iPhones to ‘beat’ the new tariffs,"Even with tariffs paused, the new rate hikes are reportedly testing tech supply chains around the world.
Even with tariffs paused, the new rate hikes are reportedly testing tech supply chains around… [+1478 chars]",1
Waste tyre review after BBC investigation,"Anna Meisel &amp; Paul KenyonBBC File On 4 Investigates
The Environment Agency (EA) has launched a comprehensive review into shipments of waste tyres from the UK to India.
Last week, BBC File on 4 … [+2462 chars]",1
Sam Altman's AI-generated cricket jersey image gets Indians talking,"Cherylann Mollan
Sam Altman is the founder of artificial intelligence research company OpenAI
India is a cricket-crazy nation, and it seems the AI chatbot ChatGPT hasn't missed that fact.
So, when… [+5075 chars]",1
AirPods Production in India Reportedly Begins Next Month,"Apple's manufacturing partner Foxconn plans to begin assembling AirPods at its factory in Hyderabad, India in April, the Press Trust of India said today. The report cited an industry source.
The rep… [+611 chars]",1
The rise of ‘Frankenstein’ laptops in New Delhi’s repair markets,"Indias repair culture gives new life to dead tech.
In a dimly lit, cluttered workshop in Delhis Nehru Place, the air hums with the sound of whirring drills and the crackle of soldering irons. Sushil… [+5811 chars]",1
India Sees Opportunity in U.S. Tariffs,"Employees work on an assembly line in the mobile phone plant of Rising Stars Mobile India Pvt., a unit of Foxconn Technology Co., in Sriperumbudur, Tamil Nadu, India, on July 12, 2019.
Karen Dias/Bl… [+53 chars]",1
Google Pixel 9a vs. OnePlus 13R: Budget battle,"If there's one phone that gives the Pixel 9a stiff competition, it's the OnePlus 13R. Even with a price increase of $100 in the U.S. over the 12R, it still represents amazing value for what it offers… [+9565 chars]",1
India Continues to Expand Renewable Energy Resources,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",1
Nothing's Phone 3a Pro is the only budget phone worth buying in India,"(Image credit: Nicholas Sutrich / Android Central)
In Hardwired, AC Senior Editor Harish Jonnalagadda delves into all things hardware, including phones, audio products, storage servers, and networki… [+8101 chars]",1
Apple to Lessen Tariff Impact by Shipping More iPhones From India,"To lessen the impact from the tariffs that U.S. President Donald Trump is putting in place this month, Apple will import more iPhones to the U.S. from India, reports The Wall Street Journal.
The 26 … [+2626 chars]",1
I've visited over 20 countries in the past few years. There are 5 destinations I'm dying to return to — including one in the US.,"Banff, Canada, is one of the places I can't wait to go back to.Chloe Caldwell
<ul><li>After visiting over 20 countries in the past three years, a few destinations have stolen my heart.</li><li>I'd l… [+4326 chars]",1
Donald Trump announces tariffs that could raise the price of almost everything you buy,"The plan would add staggering taxes to products coming into the US.
The plan would add staggering taxes to products coming into the US.
At an event in the Rose Garden on Wednesday, Donald Trump unv… [+2414 chars]",1
IBM US Cuts May Run Deeper Than Feared - and the Jobs Are Heading To India,"Following our report last week on IBM's ongoing layoffs, current and former employees got in touch to confirm what many suspected: The US cuts run deeper than reported, and the jobs are heading to In… [+937 chars]",1
"The Next iPhone Could Be Pricier, Tariffs or Not","If youve been waiting on the iPhone 17 for your upgrade, you may want to consider todays iPhone 16 first, especially if your wallet is feeling light lately. Tech is going to get more expensive becaus… [+3061 chars]",1
"Point72's CTO takes us inside his plans for tech expansion, from AI to India","Ilya Gaysinskiy, CTO of Point72Point72
<ul><li>Ilya Gaysinskiy, chief technology officer at Point72, joined from Goldman Sachs in September 2024.</li><li>His first priority is to hire more talent by… [+6506 chars]",1
Knight sacked as England captain after Ashes thrashing,"Heather Knight has been sacked as England captain following her side's 16-0 loss in Australia.
Knight has been in the position since 2016, but has overseen a difficult winter, with a series win in S… [+1095 chars]",1
Mark Cuban says he'd have to pass on potential tariff costs to pharmacy customers,"Cost Plus Drugs could get more expensive.Travis P. Ball/SXSW Conference & Festivals via Getty Images
<ul><li>Mark Cuban warned Cost Plus Drugs could raise prices due to potential tariffs.</li><li>Th… [+1896 chars]",1
India withdraws transhipment facility for Bangladesh exports via land borders,"By Manoj Kumar and Ruma Paul
NEW DELHI/DHAKA (Reuters) - India has withdrawn a transhipment facility for Bangladesh's export cargoes to other countries via its land borders, in a fresh blow to Dhaka… [+2072 chars]",1
"India Bars BYD Entry as Minister Signals Preference for Tesla, Citing Trade Concerns","India is not ready to allow Chinese electric vehicle maker BYD Company (BYDDY, Financials) to enter its market, Commerce Minister Piyush Goyal said during the India Global Forum on April 7, citing a … [+1873 chars]",1
US Tariffs Could Make Smartphones Dumber,"Tariffs, another chaotic venture of the barely four-month-old Trump administration, are set to rollick every sector of the economy and nearly all the goods and services people use across the world. B… [+2761 chars]",1
"What Is the Meta AI Button in WhatsApp, and How Do I Remove It?","If you've noticed a new light blue circle appear in your Whatsapp chats recently, and wondered what it was, Meta has recently expanded its implementation of Meta AI into new marketsand now, it's in y… [+2523 chars]",1
India and New Zealand look to bolster ties after reviving free trade talks,"NEW DELHI (AP) Indian Prime Minister Narendra Modi and his New Zealand counterpart, Christopher Luxon, met Monday seeking to deepen their defense and economic ties, a day after the countries announce… [+1979 chars]",1
"US student develops $5 anti-snakebite armor, shocks industry with 18,000 orders","In rural India, the threat of venomous snakebites looms large, with severe consequences such as paralysis, fever, and convulsions often following these dangerous encounters.
For farmers working in f… [+3350 chars]",1
Kuo: Apple Can Reduce Impact of Trump's Massive Tariffs in Five Ways,"U.S. President Donald Trump on Wednesday announced that massive tariffs will be applied to imports from many countries, starting April 9. The tariffs will significantly impact Apple's supply chain, w… [+2029 chars]",1
Veterinarians stunned by discovery made when performing surgery on stray dog's swollen belly: 'We were horrified',"A stray dog in Ahmedabad, India, had to undergo emergency surgery after veterinarians found more than 6 pounds of plastic in its stomach.
What happened?
The Times of India reported that when a resi… [+3496 chars]",1
India signs $7 billion deal for 156 combat helicopters in modernisation push,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",1
"India minister triggers uproar after telling startups to create tech like China, not ice cream","If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",1
OnePlus Open update refines security and customization in OxygenOS 15,"What you need to know
<ul><li>The OnePlus Open is picking up a new update with the March 2025 security patch via OxygenOS 15.</li><li>The changelog details a security improvement for user data, as w… [+3452 chars]",1
Heathrow shuts: 'We don't know what's happening next - it's chaos',"Steve has been trying to get back to London after his flight was diverted to Paris
Thousands of passengers have had their travel plans thrown into disarray after Heathrow Airport shut on Friday.
Ho… [+4885 chars]",1
King sends message of condolence after Myanmar earthquake,"King Charles III has sent his condolences to the people of Myanmar after Friday's deadly earthquake.
In a message on social media, King Charles spoke of the shock and sadness he and the Queen felt a… [+1860 chars]",1
Trump 'very angry' with Putin over ceasefire negotiations,"President Donald Trump has said he is ""very angry"" and ""pissed off"" with Russian President Vladimir Putin after weeks of attempting to negotiate a ceasefire in Ukraine. 
In an NBC News interview, he… [+2370 chars]",1
Apple Stock Falls as Trump Tariffs Target Supply Chain,"Apple's efforts to diversify its supply chain may have been for naught with the Trump administration's new tariffs that target multiple countries where Apple sources components for its iPhones, iPads… [+1848 chars]",1
India arrests crypto administrator with Russia links wanted by US,"Authorities in India have arrested a cryptocurrency exchange administrator wanted by the US for allegedly helping cybercriminals launder money and violate sanctions. 
Aleksej Besciokov, a Lithuanian… [+1828 chars]",1
"As global tariff tensions rise, here's the latest on U.S. trade with top partners","In less than two weeks, President Trump has upended global markets by imposing tariffs on imports from several of America's top trading partners.
With the initial shock still settling in, countries … [+7465 chars]",1
Apple's India manufacturing efforts expands to AirPods,"Apple's work to diversify its supply chain is continuing, with assembly partners preparing to start manufacturing AirPods in India as soon as April. 
Apple has gradually increased its production bas… [+2498 chars]",1
"India's rivers are home to 6,000 dolphins - but they are in trouble","India's longest and most holy river, the Ganges, is home to thousands of dolphins. But their survival is under threat.
But these aren't like the ones found in oceans. They don't leap out of the wate… [+3910 chars]",1
India's 'Frankenstein' Laptop Economy Thrives Against Planned Obsolescence,"In Delhi's Nehru Place and Mumbai's Lamington Road, technicians are creating functional laptops from salvaged parts of multiple discarded devices. These ""Frankenstein"" machines sell for approximately… [+891 chars]",1
India-China relations: Modi's hope for a thaw amid uncertain geopolitics,"Michael Kugelman
India's pitch for a close partnership with China has suggested improvement in bilateral ties
In a recent interview, Prime Minister Narendra Modi spoke positively about India's rela… [+5946 chars]",1
Indian parliament's Lower House passes controversial bill that would change Muslim endowments,"SRINAGAR, India (AP) The Lower House of India's parliament early Thursday passed a controversial bill moved by Prime Minister Narendra Modis Hindu nationalist government to amend laws governing Musli… [+5224 chars]",1
"Apple looks to India, Micron adds surcharge: Trending Tickers","If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",1
"How Apple Could Navigate Trump's Tariffs, According to Gurman","Apple is likely to take a multi-pronged approach to manage the impact of impending tariffs on its products, according to Bloomberg's Mark Gurman. The company faces looming challenges, as new tariffs … [+2749 chars]",1
"IBM Cuts Thousands of Jobs, Cloud Classic Unit Hit Hard: Report","IBM is laying off thousands of employees across the United States, with approximately 25% of staff at its Cloud Classic operation affected, The Register reports, citing a source. ""Concrete numbers ar… [+1064 chars]",1
